iter	Passed	Remaining
0	49	49935
1	52	26355
2	57	19024
3	60	15172
4	63	12651
5	66	10970
6	68	9771
7	76	9474
8	78	8689
9	81	8098
10	85	7679
11	90	7416
12	93	7120
13	96	6824
14	99	6526
15	105	6458
16	110	6365
17	115	6283
18	128	6634
19	133	6535
20	142	6638
21	145	6453
22	148	6291
23	153	6243
24	156	6101
25	159	5968
26	161	5836
27	165	5729
28	172	5784
29	176	5701
30	179	5606
31	183	5547
32	188	5529
33	191	5443
34	202	5574
35	204	5482
36	208	5430
37	212	5369
38	216	5328
39	218	5255
40	222	5197
41	225	5138
42	227	5074
43	231	5035
44	234	4980
45	240	4988
46	243	4939
47	247	4903
48	249	4850
49	252	4798
50	255	4759
51	258	4713
52	261	4663
53	264	4626
54	267	4589
55	270	4554
56	272	4514
57	276	4484
58	282	4501
59	285	4468
60	288	4434
61	291	4414
62	295	4393
63	297	4356
64	300	4322
65	304	4303
66	307	4284
67	312	4279
68	323	4363
69	328	4359
70	334	4375
71	340	4393
72	345	4384
73	349	4370
74	352	4351
75	356	4328
76	359	4315
77	363	4293
78	365	4265
79	369	4244
80	371	4217
81	376	4219
82	380	4203
83	383	4179
84	386	4157
85	392	4174
86	395	4152
87	398	4130
88	401	4107
89	404	4085
90	409	4088
91	413	4084
92	416	4063
93	419	4039
94	422	4029
95	426	4019
96	433	4033
97	435	4012
98	439	4003
99	442	3981
100	444	3960
101	447	3941
102	450	3919
103	452	3898
104	455	3884
105	458	3865
106	461	3851
107	463	3831
108	466	3814
109	469	3801
110	474	3801
111	478	3791
112	481	3780
113	484	3767
114	488	3760
115	496	3784
116	500	3773
117	505	3780
118	510	3780
119	513	3766
120	516	3750
121	521	3750
122	525	3743
123	528	3735
124	541	3788
125	545	3785
126	549	3775
127	557	3801
128	561	3790
129	563	3774
130	570	3784
131	573	3771
132	576	3757
133	579	3741
134	582	3731
135	588	3737
136	591	3724
137	594	3710
138	596	3696
139	604	3712
140	610	3719
141	616	3724
142	625	3746
143	633	3764
144	637	3757
145	645	3774
146	658	3820
147	661	3809
148	666	3808
149	671	3807
150	675	3796
151	681	3802
152	688	3809
153	692	3805
154	700	3819
155	707	3826
156	714	3838
157	720	3838
158	723	3828
159	730	3836
160	736	3838
161	740	3831
162	746	3833
163	751	3828
164	756	3829
165	762	3831
166	770	3841
167	781	3868
168	785	3862
169	789	3852
170	800	3880
171	804	3871
172	819	3916
173	822	3905
174	830	3916
175	853	3997
176	868	4036
177	877	4051
178	880	4039
179	884	4029
180	889	4024
181	895	4024
182	898	4010
183	901	3997
184	914	4028
185	919	4025
186	951	4135
187	959	4145
188	964	4139
189	974	4153
190	986	4176
191	994	4184
192	1011	4229
193	1024	4254
194	1032	4263
195	1036	4250
196	1041	4244
197	1044	4232
198	1050	4228
199	1060	4242
200	1063	4228
201	1067	4216
202	1077	4229
203	1080	4216
204	1084	4207
205	1098	4232
206	1105	4234
207	1108	4222
208	1112	4211
209	1120	4215
210	1124	4203
211	1128	4195
212	1132	4182
213	1157	4250
214	1163	4248
215	1171	4252
216	1187	4283
217	1193	4280
218	1201	4283
219	1252	4441
220	1258	4435
221	1267	4443
222	1272	4433
223	1280	4434
224	1284	4424
225	1291	4424
226	1300	4427
227	1305	4420
228	1310	4410
229	1317	4409
230	1321	4398
231	1328	4399
232	1339	4408
233	1349	4417
234	1354	4410
235	1364	4418
236	1376	4431
237	1384	4431
238	1398	4454
239	1403	4443
240	1411	4444
241	1424	4463
242	1430	4456
243	1434	4443
244	1443	4448
245	1447	4436
246	1451	4424
247	1458	4423
248	1466	4421
249	1485	4456
250	1500	4478
251	1510	4483
252	1513	4468
253	1516	4453
254	1524	4454
255	1535	4461
256	1551	4486
257	1577	4536
258	1610	4607
259	1628	4636
260	1643	4654
261	1650	4649
262	1660	4654
263	1689	4709
264	1694	4700
265	1698	4687
266	1704	4680
267	1708	4666
268	1712	4652
269	1717	4643
270	1723	4637
271	1727	4623
272	1730	4608
273	1736	4599
274	1741	4590
275	1745	4579
276	1757	4587
277	1763	4578
278	1777	4593
279	1783	4586
280	1788	4576
281	1792	4564
282	1795	4549
283	1804	4549
284	1813	4548
285	1817	4537
286	1823	4529
287	1830	4524
288	1835	4515
289	1843	4513
290	1849	4506
291	1854	4496
292	1857	4482
293	1864	4477
294	1869	4468
295	1876	4463
296	1883	4458
297	1886	4443
298	1889	4430
299	1898	4430
300	1903	4419
301	1906	4406
302	1912	4398
303	1915	4384
304	1917	4369
305	1923	4363
306	1938	4375
307	1941	4362
308	1948	4357
309	1952	4345
310	1957	4336
311	1977	4360
